timestamp,line,batch_id,event,status,machine,active_runtime_s,active_runtime_formatted,total_elapsed_s,total_elapsed_formatted,batch_duration_s,batch_duration_formatted,total_pause_s,total_pause_formatted,pause_count,avg_pause_duration_s,efficiency_percent,production_rate_per_hour,wifi_rssi,wifi_quality
2026-05-05 17:57:34,door,9,BOOT,IDLE,Wood_Line_1,0,,0,,,,0,,0,,0.0,0.0,-76,Poor
2026-05-05 17:57:36,frame,15,BOOT,IDLE,Wood_Line_1,0,,0,,,,0,,0,,0.0,0.0,-73,Poor
2026-05-05 17:57:39,arch,5,BOOT,IDLE,Wood_Line_1,0,,0,,,,0,,0,,0.0,0.0,-75,Poor
2026-05-05 17:58:28,door,10,START,RUNNING,Wood_Line_1,0,,0,,,,0,,0,,100.0,0.0,-76,Poor
2026-05-05 17:59:28,door,10,STATUS,RUNNING,Wood_Line_1,60,,60,,,,0,,0,,100.0,60.0,-76,Poor
2026-05-05 17:59:28,door,10,STATUS,RUNNING,Wood_Line_1,60,,60,,,,0,,0,,100.0,60.0,-76,Poor
2026-05-05 18:00:28,door,10,STATUS,RUNNING,Wood_Line_1,120,,120,,,,0,,0,,100.0,30.0,-77,Poor
2026-05-05 18:00:28,door,10,STATUS,RUNNING,Wood_Line_1,120,,120,,,,0,,0,,100.0,30.0,-77,Poor
2026-05-05 18:01:28,door,10,STATUS,RUNNING,Wood_Line_1,180,,180,,,,0,,0,,100.0,20.0,-73,Poor
2026-05-05 18:01:28,door,10,STATUS,RUNNING,Wood_Line_1,180,,180,,,,0,,0,,100.0,20.0,-73,Poor
2026-05-05 18:02:28,door,10,STATUS,RUNNING,Wood_Line_1,240,,240,,,,0,,0,,100.0,15.0,-76,Poor
2026-05-05 18:02:28,door,10,STATUS,RUNNING,Wood_Line_1,240,,240,,,,0,,0,,100.0,15.0,-76,Poor
2026-05-05 18:03:28,door,10,STATUS,RUNNING,Wood_Line_1,300,,300,,,,0,,0,,100.0,12.0,-76,Poor
2026-05-05 18:03:28,door,10,STATUS,RUNNING,Wood_Line_1,300,,300,,,,0,,0,,100.0,12.0,-76,Poor
2026-05-05 18:04:28,door,10,STATUS,RUNNING,Wood_Line_1,360,,360,,,,0,,0,,100.0,10.0,-75,Poor
2026-05-05 18:04:28,door,10,STATUS,RUNNING,Wood_Line_1,360,,360,,,,0,,0,,100.0,10.0,-75,Poor
2026-05-05 18:05:28,door,10,STATUS,RUNNING,Wood_Line_1,420,,420,,,,0,,0,,100.0,8.57,-73,Poor
2026-05-05 18:05:28,door,10,STATUS,RUNNING,Wood_Line_1,420,,420,,,,0,,0,,100.0,8.57,-73,Poor
2026-05-05 18:06:28,door,10,STATUS,RUNNING,Wood_Line_1,480,,480,,,,0,,0,,100.0,7.5,-77,Poor
